ExpenseID,VendorID,ERP_System,Department,CostCenter,ExpenseType,ExpenseDate,Amount,Currency
EXP_0000019,VEND_00131,Oracle_Financials,Sales,CC200,OPEX,2023-08-12,68020.58,USD
EXP_0000020,VEND_01686,Oracle_Financials,Finance,CC100,OPEX,2023-08-27,172627.84,USD
EXP_0000021,VEND_01333,SAP,Operations,CC100,CAPEX,2024-06-01,102934.07,USD
EXP_0000022,VEND_00770,NetSuite,Marketing,CC100,CAPEX,2024-09-08,64942.61,USD
EXP_0000023,VEND_00344,Oracle_Financials,Marketing,CC400,OPEX,2023-01-28,87963.01,USD
EXP_0000024,VEND_01516,Oracle_Financials,Marketing,CC400,CAPEX,2024-07-28,1362.67,USD
EXP_0000025,VEND_01438,Oracle_Financials,Operations,CC200,OPEX,2023-07-23,4620.21,USD
EXP_0000026,VEND_00806,SAP,Finance,CC200,OPEX,2025-01-03,173690.82,USD
EXP_0000027,VEND_00386,Oracle_Financials,Sales,CC100,OPEX,2024-10-27,82159.64,USD
EXP_0000028,VEND_01216,NetSuite,IT,CC300,CAPEX,2024-12-19,175930.36,USD
EXP_0000029,VEND_00956,SAP,Operations,CC100,CAPEX,2024-07-12,150919.01,USD
EXP_0000030,VEND_00277,SAP,IT,CC100,CAPEX,2024-03-05,147252.39,USD
EXP_0000031,VEND_01185,Oracle_Financials,Marketing,CC200,OPEX,2023-08-14,17519.1,USD
EXP_0000032,VEND_00460,SAP,Marketing,CC200,CAPEX,2024-04-04,134188.41,USD
EXP_0000033,VEND_01338,Oracle_Financials,Sales,CC100,OPEX,2024-08-26,197624.13,USD
EXP_0000034,VEND_00022,NetSuite,IT,CC400,OPEX,2023-10-12,167560.16,USD
EXP_0000035,VEND_00253,NetSuite,IT,CC400,CAPEX,2025-04-08,71834.22,USD
EXP_0000036,VEND_00748,SAP,IT,CC300,CAPEX,2025-06-09,124730.19,USD
EXP_0000037,VEND_00857,SAP,Marketing,CC100,OPEX,2023-01-07,55699.85,USD
EXP_0000038,VEND_01585,Oracle_Financials,Sales,CC300,OPEX,2025-02-16,115670.27,USD
EXP_0000039,VEND_00475,SAP,Operations,CC200,CAPEX,2025-04-05,131332.98,USD
EXP_0000040,VEND_01083,NetSuite,Finance,CC200,CAPEX,2023-06-13,72770.11,USD
EXP_0000041,VEND_00511,SAP,Operations,CC300,CAPEX,2024-12-15,155065.3,USD
EXP_0000042,VEND_01706,NetSuite,Marketing,CC400,OPEX,2024-03-08,161974.45,USD
EXP_0000043,VEND_01500,Oracle_Financials,IT,CC200,OPEX,2023-12-15,111458.26,USD
EXP_0000044,VEND_00700,NetSuite,Operations,CC400,CAPEX,2023-10-12,168752.95,USD
EXP_0000045,VEND_00976,SAP,Marketing,CC200,CAPEX,2023-06-09,33698.42,USD
EXP_0000046,VEND_01807,NetSuite,Operations,CC200,CAPEX,2023-08-09,186434.0,USD
EXP_0000047,VEND_00190,NetSuite,IT,CC300,CAPEX,2025-02-20,45308.04,USD
EXP_0000048,VEND_00958,SAP,IT,CC100,CAPEX,2023-12-11,49643.08,USD
EXP_0000049,VEND_00687,Oracle_Financials,Marketing,CC200,OPEX,2023-04-15,133156.83,USD
EXP_0000050,VEND_00958,NetSuite,Finance,CC100,OPEX,2023-04-05,141780.38,USD
EXP_0000051,VEND_00563,SAP,Sales,CC100,CAPEX,2024-01-25,138426.81,USD
EXP_0000052,VEND_01900,NetSuite,Finance,CC400,CAPEX,2023-04-10,137791.87,USD
EXP_0000053,VEND_01591,NetSuite,Marketing,CC400,CAPEX,2024-01-03,20986.03,USD
EXP_0000054,VEND_01268,NetSuite,Marketing,CC400,OPEX,2025-05-17,163827.34,USD
EXP_0000055,VEND_00832,Oracle_Financials,Marketing,CC100,CAPEX,2023-12-19,88292.41,USD
EXP_0000056,VEND_01529,NetSuite,Finance,CC200,OPEX,2024-09-10,8388.37,USD
EXP_0000057,VEND_01155,SAP,Sales,CC300,CAPEX,2023-09-28,8333.74,USD
EXP_0000058,VEND_01509,SAP,Operations,CC100,OPEX,2025-04-06,134328.46,USD
EXP_0000059,VEND_01843,NetSuite,Marketing,CC200,OPEX,2023-02-14,185616.01,USD
EXP_0000060,VEND_00647,Oracle_Financials,IT,CC300,OPEX,2025-01-17,58559.25,USD
EXP_0000061,VEND_00021,SAP,Marketing,CC300,CAPEX,2024-04-15,79583.62,USD
EXP_0000062,VEND_00841,Oracle_Financials,IT,CC100,OPEX,2024-07-03,29660.77,USD
EXP_0000063,VEND_00167,Oracle_Financials,Marketing,CC100,OPEX,2023-05-08,74937.5,USD
EXP_0000064,VEND_01298,SAP,Marketing,CC200,OPEX,2024-01-23,30716.49,USD
EXP_0000065,VEND_00388,SAP,Marketing,CC100,CAPEX,2023-03-22,183167.59,USD
EXP_0000066,VEND_00601,Oracle_Financials,Operations,CC300,OPEX,2024-07-19,89032.81,USD
EXP_0000067,VEND_00316,NetSuite,Operations,CC400,OPEX,2023-10-28,153299.58,USD
EXP_0000068,VEND_00014,Oracle_Financials,Operations,CC200,CAPEX,2025-04-29,156757.37,USD
EXP_0000069,VEND_00242,SAP,Marketing,CC200,CAPEX,2024-10-05,71439.89,USD
EXP_0000070,VEND_00777,Oracle_Financials,Sales,CC400,OPEX,2024-09-25,139219.05,USD
EXP_0000071,VEND_01370,SAP,Finance,CC300,CAPEX,2025-06-01,92594.57,USD
EXP_0000072,VEND_00565,NetSuite,Sales,CC400,CAPEX,2024-01-06,102989.59,USD
EXP_0000073,VEND_00898,NetSuite,Marketing,CC200,OPEX,2024-08-14,188201.0,USD
EXP_0000074,VEND_01364,NetSuite,Operations,CC200,OPEX,2023-07-16,88052.17,USD
EXP_0000075,VEND_00092,NetSuite,Marketing,CC100,OPEX,2024-12-22,23608.27,USD
EXP_0000076,VEND_01391,NetSuite,Finance,CC300,CAPEX,2023-03-13,69815.76,USD
EXP_0000077,VEND_00956,SAP,Operations,CC300,CAPEX,2023-02-16,151.77,USD
EXP_0000078,VEND_01479,Oracle_Financials,Operations,CC300,OPEX,2024-11-08,50895.83,USD
EXP_0000079,VEND_01452,NetSuite,Operations,CC100,CAPEX,2023-08-22,122178.09,USD
EXP_0000080,VEND_00509,SAP,Finance,CC300,OPEX,2025-03-02,124411.53,USD
EXP_0000081,VEND_00776,Oracle_Financials,Sales,CC400,CAPEX,2023-10-24,57343.8,USD
EXP_0000082,VEND_01967,Oracle_Financials,IT,CC100,CAPEX,2023-03-23,191492.83,USD
EXP_0000083,VEND_00035,NetSuite,IT,CC300,CAPEX,2025-05-25,194591.94,USD
EXP_0000084,VEND_00206,NetSuite,IT,CC200,CAPEX,2023-08-27,113315.46,USD
EXP_0000085,VEND_01105,Oracle_Financials,Finance,CC400,OPEX,2025-06-06,44512.97,USD
EXP_0000086,VEND_01956,Oracle_Financials,IT,CC300,CAPEX,2023-04-14,104122.18,USD
EXP_0000087,VEND_01586,SAP,Operations,CC400,CAPEX,2024-01-25,51752.9,USD
EXP_0000088,VEND_01896,NetSuite,Marketing,CC100,OPEX,2023-10-12,114456.1,USD
EXP_0000089,VEND_01412,Oracle_Financials,Finance,CC300,OPEX,2024-04-09,71925.89,USD
EXP_0000090,VEND_01026,Oracle_Financials,Sales,CC200,OPEX,2024-10-12,80494.91,USD
EXP_0000091,VEND_01022,NetSuite,IT,CC400,CAPEX,2025-05-04,131948.81,USD
EXP_0000092,VEND_01414,SAP,Finance,CC100,CAPEX,2024-01-09,21440.14,USD
EXP_0000093,VEND_00566,SAP,IT,CC100,OPEX,2023-06-16,178455.62,USD
EXP_0000094,VEND_01130,NetSuite,Operations,CC100,OPEX,2024-01-15,149211.09,USD
EXP_0000095,VEND_01796,SAP,Sales,CC200,CAPEX,2023-12-30,44177.32,USD
EXP_0000096,VEND_01846,SAP,IT,CC400,CAPEX,2023-08-03,74860.38,USD
EXP_0000097,VEND_01501,SAP,Operations,CC300,CAPEX,2024-11-17,71095.86,USD
EXP_0000098,VEND_00703,Oracle_Financials,Marketing,CC100,OPEX,2023-10-01,91871.08,USD
EXP_0000099,VEND_00402,Oracle_Financials,IT,CC100,OPEX,2024-12-19,87790.69,USD
EXP_0000100,VEND_00730,SAP,Operations,CC100,OPEX,2024-11-30,1482.26,USD
EXP_0000101,VEND_01580,NetSuite,Finance,CC400,OPEX,2024-10-25,137866.44,USD
EXP_0000102,VEND_00162,NetSuite,Sales,CC200,OPEX,2023-03-15,110976.97,USD
EXP_0000103,VEND_00202,NetSuite,Operations,CC100,CAPEX,2024-09-15,63066.23,USD
EXP_0000104,VEND_01982,SAP,Operations,CC300,OPEX,2024-10-12,163360.19,USD
EXP_0000105,VEND_00996,NetSuite,Finance,CC400,OPEX,2023-06-25,35883.02,USD
EXP_0000106,VEND_00270,Oracle_Financials,Operations,CC200,CAPEX,2024-06-30,43190.97,USD
EXP_0000107,VEND_01887,NetSuite,IT,CC400,OPEX,2025-01-16,172786.65,USD
EXP_0000108,VEND_00816,NetSuite,Finance,CC200,CAPEX,2023-09-08,69300.38,USD
EXP_0000109,VEND_01295,Oracle_Financials,Marketing,CC300,CAPEX,2023-06-17,71721.01,USD
EXP_0000110,VEND_00456,Oracle_Financials,Operations,CC400,OPEX,2024-04-18,135296.99,USD
EXP_0000111,VEND_01486,SAP,Marketing,CC200,OPEX,2024-01-24,33303.32,USD
EXP_0000112,VEND_01751,SAP,Operations,CC200,OPEX,2023-10-04,179248.08,USD
EXP_0000113,VEND_01276,SAP,Operations,CC100,CAPEX,2024-10-17,175138.08,USD
EXP_0000114,VEND_01017,SAP,IT,CC400,OPEX,2024-12-05,40180.84,USD
EXP_0000115,VEND_01726,SAP,Marketing,CC100,OPEX,2024-07-24,167338.33,USD
EXP_0000116,VEND_00296,Oracle_Financials,Finance,CC200,OPEX,2023-08-13,193201.69,USD
EXP_0000117,VEND_01749,Oracle_Financials,Finance,CC300,CAPEX,2024-12-02,66395.54,USD
EXP_0000118,VEND_00720,Oracle_Financials,Marketing,CC300,CAPEX,2023-11-29,32472.21,USD
EXP_0000119,VEND_01773,NetSuite,Marketing,CC100,CAPEX,2025-05-13,136891.18,USD
EXP_0000120,VEND_00338,NetSuite,Marketing,CC200,OPEX,2025-02-25,86939.88,USD
EXP_0000121,VEND_00879,NetSuite,Marketing,CC200,CAPEX,2025-03-05,194058.86,USD
EXP_0000122,VEND_01077,SAP,Marketing,CC400,CAPEX,2023-02-27,162241.02,USD
EXP_0000123,VEND_00792,NetSuite,Sales,CC400,CAPEX,2023-08-23,114660.09,USD
EXP_0000124,VEND_01946,SAP,Marketing,CC300,OPEX,2025-04-21,36734.67,USD
EXP_0000125,VEND_00217,SAP,Sales,CC400,CAPEX,2023-02-02,85183.03,USD
EXP_0000126,VEND_00764,SAP,Operations,CC400,OPEX,2025-04-04,119380.13,USD
EXP_0000127,VEND_00188,SAP,Finance,CC100,CAPEX,2023-11-20,92192.94,USD
EXP_0000128,VEND_00380,NetSuite,Marketing,CC200,CAPEX,2024-02-15,152619.2,USD
EXP_0000129,VEND_00493,Oracle_Financials,Operations,CC200,OPEX,2023-10-02,64391.09,USD
EXP_0000130,VEND_01065,SAP,IT,CC400,CAPEX,2023-03-09,88390.62,USD
EXP_0000131,VEND_01181,NetSuite,Sales,CC300,CAPEX,2023-08-05,96020.31,USD
EXP_0000132,VEND_00015,SAP,Marketing,CC300,CAPEX,2024-08-03,65785.16,USD
EXP_0000133,VEND_01837,SAP,Operations,CC400,CAPEX,2025-06-16,88657.78,USD
EXP_0000134,VEND_00065,Oracle_Financials,Marketing,CC200,CAPEX,2025-01-05,41784.95,USD
EXP_0000135,VEND_01881,SAP,Finance,CC400,OPEX,2023-11-19,198281.89,USD
EXP_0000136,VEND_01863,Oracle_Financials,Marketing,CC400,CAPEX,2023-08-06,197794.64,USD
EXP_0000137,VEND_00521,NetSuite,IT,CC100,OPEX,2024-11-02,80129.23,USD
EXP_0000138,VEND_01368,SAP,Sales,CC400,OPEX,2024-05-26,184033.05,USD
EXP_0000139,VEND_01153,Oracle_Financials,IT,CC400,OPEX,2024-02-10,54329.33,USD
EXP_0000140,VEND_00648,SAP,Finance,CC300,CAPEX,2024-10-20,155869.16,USD
EXP_0000141,VEND_01496,SAP,Marketing,CC200,CAPEX,2024-04-14,128639.09,USD
EXP_0000142,VEND_01087,SAP,Marketing,CC200,OPEX,2023-05-27,30255.17,USD
EXP_0000143,VEND_01163,Oracle_Financials,Finance,CC400,OPEX,2023-09-29,65721.14,USD
EXP_0000144,VEND_01523,NetSuite,Marketing,CC100,OPEX,2023-05-23,189672.59,USD
EXP_0000145,VEND_00593,Oracle_Financials,Marketing,CC300,CAPEX,2023-09-10,144481.9,USD
EXP_0000146,VEND_00392,NetSuite,Marketing,CC300,OPEX,2025-02-01,184115.91,USD
EXP_0000147,VEND_01699,Oracle_Financials,Operations,CC400,CAPEX,2024-07-28,15619.17,USD
EXP_0000148,VEND_00419,Oracle_Financials,Operations,CC200,OPEX,2024-07-05,72141.53,USD
EXP_0000149,VEND_00289,NetSuite,Sales,CC200,OPEX,2023-09-27,195015.35,USD
EXP_0000150,VEND_00379,NetSuite,Finance,CC200,OPEX,2025-02-03,103843.81,USD
EXP_0000151,VEND_01797,NetSuite,IT,CC100,OPEX,2024-08-21,160855.83,USD
EXP_0000152,VEND_01514,Oracle_Financials,Finance,CC300,OPEX,2024-03-14,195274.76,USD
EXP_0000153,VEND_00231,NetSuite,Marketing,CC200,OPEX,2024-08-20,99435.09,USD
EXP_0000154,VEND_01018,SAP,Marketing,CC300,OPEX,2024-02-13,67951.1,USD
EXP_0000155,VEND_00041,SAP,Finance,CC400,OPEX,2024-01-06,173558.33,USD
EXP_0000156,VEND_01052,SAP,Marketing,CC400,OPEX,2023-08-13,143417.14,USD
EXP_0000157,VEND_00135,SAP,Sales,CC300,CAPEX,2023-05-22,29626.69,USD
EXP_0000158,VEND_00201,NetSuite,IT,CC400,OPEX,2024-06-05,18276.66,USD
EXP_0000159,VEND_01864,NetSuite,Marketing,CC400,CAPEX,2024-05-20,172284.72,USD
EXP_0000160,VEND_00780,SAP,Operations,CC300,OPEX,2023-04-04,81116.78,USD
EXP_0000161,VEND_00930,NetSuite,Marketing,CC300,OPEX,2025-02-12,4346.1,USD
EXP_0000162,VEND_01057,SAP,Marketing,CC300,CAPEX,2023-02-18,102777.93,USD
EXP_0000163,VEND_01072,Oracle_Financials,Marketing,CC300,CAPEX,2025-05-31,36056.73,USD
EXP_0000164,VEND_00503,NetSuite,Finance,CC100,CAPEX,2023-04-23,25830.32,USD
EXP_0000165,VEND_00407,Oracle_Financials,Finance,CC200,CAPEX,2023-06-06,46927.17,USD
EXP_0000166,VEND_01598,NetSuite,Finance,CC400,CAPEX,2024-10-04,145706.43,USD
EXP_0000167,VEND_01752,NetSuite,Operations,CC200,OPEX,2023-06-13,123325.68,USD
EXP_0000168,VEND_00805,NetSuite,Sales,CC400,CAPEX,2025-03-22,162558.28,USD
EXP_0000169,VEND_00099,Oracle_Financials,Sales,CC400,OPEX,2024-11-27,9208.7,USD
EXP_0000170,VEND_00684,Oracle_Financials,Finance,CC100,OPEX,2024-03-08,60330.5,USD
EXP_0000171,VEND_01896,SAP,Marketing,CC400,OPEX,2024-09-02,14548.63,USD
EXP_0000172,VEND_00726,Oracle_Financials,Finance,CC300,OPEX,2023-03-07,91621.3,USD
EXP_0000173,VEND_01571,Oracle_Financials,Marketing,CC100,CAPEX,2024-01-30,148202.32,USD
EXP_0000174,VEND_00961,SAP,Operations,CC400,CAPEX,2024-01-26,128912.93,USD
EXP_0000175,VEND_01763,Oracle_Financials,Marketing,CC100,OPEX,2024-09-02,8037.86,USD
EXP_0000176,VEND_00613,Oracle_Financials,Marketing,CC100,CAPEX,2024-04-24,180886.97,USD
EXP_0000177,VEND_01967,SAP,Sales,CC300,OPEX,2024-06-25,51552.27,USD
EXP_0000178,VEND_01486,Oracle_Financials,Marketing,CC400,OPEX,2023-09-15,86252.75,USD
EXP_0000179,VEND_00643,SAP,Finance,CC200,OPEX,2024-07-20,166472.87,USD
EXP_0000180,VEND_01793,NetSuite,IT,CC300,OPEX,2025-05-31,64190.71,USD
EXP_0000181,VEND_01029,NetSuite,Operations,CC400,CAPEX,2023-01-12,156459.29,USD
EXP_0000182,VEND_01242,Oracle_Financials,IT,CC100,OPEX,2024-11-27,164429.89,USD
EXP_0000183,VEND_00503,NetSuite,Operations,CC400,CAPEX,2025-01-08,24914.63,USD
EXP_0000184,VEND_00767,Oracle_Financials,Finance,CC100,CAPEX,2023-04-28,18636.22,USD
EXP_0000185,VEND_00398,SAP,Finance,CC100,OPEX,2024-11-29,79000.66,USD
EXP_0000186,VEND_00871,SAP,IT,CC100,CAPEX,2024-07-03,168561.05,USD
EXP_0000187,VEND_00795,SAP,Sales,CC400,CAPEX,2025-02-07,41504.26,USD
EXP_0000188,VEND_00393,NetSuite,Operations,CC300,OPEX,2023-10-01,195891.47,USD
EXP_0000189,VEND_00207,SAP,Sales,CC100,OPEX,2025-02-26,50274.69,USD
EXP_0000190,VEND_01039,SAP,Finance,CC100,OPEX,2024-10-18,79575.33,USD
EXP_0000191,VEND_01882,Oracle_Financials,Marketing,CC100,CAPEX,2023-12-15,95637.03,USD
EXP_0000192,VEND_01578,Oracle_Financials,Operations,CC100,CAPEX,2023-04-25,3848.64,USD
EXP_0000193,VEND_00892,Oracle_Financials,Operations,CC300,CAPEX,2023-10-28,117075.44,USD
EXP_0000194,VEND_01485,Oracle_Financials,Finance,CC200,OPEX,2024-03-21,74504.69,USD
EXP_0000195,VEND_01715,SAP,Sales,CC200,OPEX,2023-06-11,114472.19,USD
EXP_0000196,VEND_01599,Oracle_Financials,Marketing,CC100,CAPEX,2024-04-09,159388.31,USD
EXP_0000197,VEND_00864,NetSuite,IT,CC200,CAPEX,2023-01-04,662.44,USD
EXP_0000198,VEND_00743,NetSuite,Marketing,CC400,OPEX,2025-01-09,68304.42,USD
EXP_0000199,VEND_01265,NetSuite,Sales,CC400,OPEX,2025-06-15,146232.55,USD
EXP_0000200,VEND_00564,Oracle_Financials,Finance,CC400,OPEX,2025-01-06,45986.38,USD
EXP_0000201,VEND_01021,SAP,Marketing,CC200,OPEX,2023-09-27,170208.78,USD
EXP_0000202,VEND_00096,Oracle_Financials,IT,CC300,CAPEX,2024-05-27,104257.05,USD
EXP_0000203,VEND_01924,NetSuite,Sales,CC400,CAPEX,2025-02-19,138548.14,USD
EXP_0000204,VEND_01758,Oracle_Financials,Marketing,CC300,CAPEX,2023-07-02,194641.2,USD
EXP_0000205,VEND_00485,NetSuite,Marketing,CC100,CAPEX,2024-06-03,47075.76,USD
EXP_0000206,VEND_01431,SAP,Marketing,CC300,CAPEX,2023-04-19,187086.79,USD
EXP_0000207,VEND_00231,SAP,Finance,CC300,OPEX,2025-06-10,140779.65,USD
EXP_0000208,VEND_00749,SAP,Marketing,CC100,OPEX,2024-10-02,103843.69,USD
EXP_0000209,VEND_01679,SAP,Finance,CC200,CAPEX,2023-11-02,116882.73,USD
EXP_0000210,VEND_01195,SAP,IT,CC100,CAPEX,2025-05-11,161474.07,USD
EXP_0000211,VEND_00541,Oracle_Financials,Finance,CC300,CAPEX,2024-10-16,85098.47,USD
EXP_0000212,VEND_01060,SAP,IT,CC300,CAPEX,2024-06-03,162432.15,USD
EXP_0000213,VEND_00525,Oracle_Financials,Operations,CC400,CAPEX,2024-09-15,133209.11,USD
EXP_0000214,VEND_01184,NetSuite,Operations,CC200,CAPEX,2023-07-23,199104.27,USD
EXP_0000215,VEND_01863,NetSuite,IT,CC200,CAPEX,2023-06-06,3804.98,USD
EXP_0000216,VEND_01723,SAP,Finance,CC300,OPEX,2024-01-18,140963.32,USD
EXP_0000217,VEND_01267,Oracle_Financials,Finance,CC100,OPEX,2025-02-19,110660.71,USD
EXP_0000218,VEND_01110,SAP,Sales,CC300,OPEX,2023-06-15,100487.45,USD
EXP_0000219,VEND_01820,NetSuite,Operations,CC400,CAPEX,2024-07-06,96695.1,USD
EXP_0000220,VEND_00578,Oracle_Financials,Finance,CC300,OPEX,2025-03-08,88766.05,USD
EXP_0000221,VEND_00682,NetSuite,Sales,CC400,CAPEX,2024-06-27,189322.69,USD
EXP_0000222,VEND_00557,Oracle_Financials,Operations,CC200,OPEX,2023-01-01,40289.92,USD
EXP_0000223,VEND_01598,NetSuite,Finance,CC400,CAPEX,2024-09-05,85704.14,USD
EXP_0000224,VEND_01977,SAP,IT,CC400,CAPEX,2023-11-28,123885.82,USD
EXP_0000225,VEND_01013,SAP,Marketing,CC200,CAPEX,2024-05-15,86020.1,USD
EXP_0000226,VEND_00646,SAP,Marketing,CC300,OPEX,2023-01-20,191323.65,USD
EXP_0000227,VEND_00796,NetSuite,Operations,CC300,OPEX,2023-04-25,13805.48,USD
EXP_0000228,VEND_01052,NetSuite,Sales,CC300,CAPEX,2024-01-07,59283.28,USD
EXP_0000229,VEND_01644,NetSuite,Operations,CC300,OPEX,2025-06-18,82979.03,USD
EXP_0000230,VEND_01580,SAP,Sales,CC300,CAPEX,2025-05-01,152647.25,USD
EXP_0000231,VEND_01364,NetSuite,IT,CC100,CAPEX,2025-04-06,26097.85,USD
EXP_0000232,VEND_01822,NetSuite,Marketing,CC200,CAPEX,2023-11-11,151273.54,USD
EXP_0000233,VEND_01982,SAP,Finance,CC200,CAPEX,2023-09-03,4511.65,USD
EXP_0000234,VEND_01355,NetSuite,Sales,CC400,OPEX,2023-03-01,197881.73,USD
EXP_0000235,VEND_01664,Oracle_Financials,Finance,CC100,OPEX,2023-09-04,74754.25,USD
EXP_0000236,VEND_01530,NetSuite,Sales,CC100,OPEX,2025-06-18,16181.08,USD
EXP_0000237,VEND_01372,SAP,Finance,CC100,OPEX,2024-08-03,16008.7,USD
EXP_0000238,VEND_01497,Oracle_Financials,Marketing,CC100,OPEX,2023-03-22,37314.24,USD
EXP_0000239,VEND_01255,SAP,Operations,CC100,OPEX,2023-03-29,73052.21,USD
EXP_0000240,VEND_00190,SAP,Marketing,CC100,CAPEX,2025-01-19,98916.53,USD
EXP_0000241,VEND_01249,SAP,Sales,CC400,CAPEX,2024-05-12,171920.3,USD
EXP_0000242,VEND_01409,Oracle_Financials,Marketing,CC400,OPEX,2025-04-15,17951.45,USD
EXP_0000243,VEND_01401,Oracle_Financials,Operations,CC400,OPEX,2023-03-12,17841.53,USD
EXP_0000244,VEND_01307,SAP,Operations,CC300,OPEX,2025-02-17,115828.98,USD
EXP_0000245,VEND_01982,NetSuite,Finance,CC200,OPEX,2024-06-29,105023.14,USD
EXP_0000246,VEND_00633,Oracle_Financials,IT,CC400,CAPEX,2025-02-23,97818.44,USD
EXP_0000247,VEND_00628,SAP,IT,CC300,CAPEX,2023-05-09,172645.99,USD
EXP_0000248,VEND_00973,NetSuite,Sales,CC100,CAPEX,2023-05-12,149740.92,USD
EXP_0000249,VEND_01769,SAP,Sales,CC200,CAPEX,2024-11-06,43217.22,USD
EXP_0000250,VEND_01283,Oracle_Financials,IT,CC200,OPEX,2024-05-01,30029.39,USD
EXP_0000251,VEND_01383,Oracle_Financials,Sales,CC100,OPEX,2024-07-16,169912.24,USD
EXP_0000252,VEND_00710,NetSuite,Operations,CC300,CAPEX,2023-06-19,105520.61,USD
EXP_0000253,VEND_01480,Oracle_Financials,IT,CC200,CAPEX,2023-09-29,187019.76,USD
EXP_0000254,VEND_01435,SAP,Finance,CC300,CAPEX,2024-06-24,195552.76,USD
EXP_0000255,VEND_00649,SAP,Marketing,CC200,OPEX,2025-06-12,18608.18,USD
EXP_0000256,VEND_00318,NetSuite,Finance,CC400,OPEX,2024-09-13,91410.89,USD
EXP_0000257,VEND_01701,NetSuite,Operations,CC400,OPEX,2024-03-09,113515.84,USD
EXP_0000258,VEND_01249,NetSuite,Operations,CC400,CAPEX,2023-08-05,149956.96,USD
EXP_0000259,VEND_01843,NetSuite,Marketing,CC200,OPEX,2024-07-06,185657.88,USD
EXP_0000260,VEND_01258,SAP,Finance,CC100,OPEX,2025-02-12,192645.35,USD
EXP_0000261,VEND_00684,SAP,Operations,CC400,OPEX,2025-01-17,50590.19,USD
EXP_0000262,VEND_00664,SAP,Marketing,CC200,OPEX,2024-12-07,100920.97,USD
EXP_0000263,VEND_01999,SAP,Finance,CC200,CAPEX,2023-07-25,149340.09,USD
EXP_0000264,VEND_01851,NetSuite,Operations,CC200,CAPEX,2024-12-31,2360.33,USD
EXP_0000265,VEND_01398,Oracle_Financials,IT,CC200,CAPEX,2023-11-16,182523.41,USD
EXP_0000266,VEND_01696,SAP,Marketing,CC200,CAPEX,2024-02-13,87036.61,USD
EXP_0000267,VEND_01632,Oracle_Financials,IT,CC100,CAPEX,2024-11-18,109038.21,USD
EXP_0000268,VEND_01496,NetSuite,Marketing,CC300,CAPEX,2024-10-27,180265.71,USD
EXP_0000269,VEND_01257,NetSuite,Operations,CC200,CAPEX,2024-01-18,20877.5,USD
EXP_0000270,VEND_01716,Oracle_Financials,Operations,CC200,OPEX,2024-03-24,67152.74,USD
EXP_0000271,VEND_01137,NetSuite,IT,CC200,CAPEX,2024-06-13,68103.8,USD
EXP_0000272,VEND_01854,Oracle_Financials,Marketing,CC300,CAPEX,2024-04-07,197713.42,USD
EXP_0000273,VEND_01521,SAP,Sales,CC300,OPEX,2023-05-04,106074.63,USD
EXP_0000274,VEND_00442,NetSuite,Finance,CC300,CAPEX,2023-09-11,137295.95,USD
EXP_0000275,VEND_00564,NetSuite,Finance,CC400,CAPEX,2023-08-19,133868.01,USD
EXP_0000276,VEND_01292,Oracle_Financials,Finance,CC400,OPEX,2023-03-07,143361.36,USD
EXP_0000277,VEND_01534,Oracle_Financials,Finance,CC300,CAPEX,2023-12-13,13640.57,USD
