BudgetID,PlanningTool,Department,Month,Year,AllocatedBudget,RevisedBudget
BUD_0000063,Hyperion,Sales,4,2026,1460321.9,5731187.21
BUD_0000064,Hyperion,Marketing,10,2025,626151.06,4999675.02
BUD_0000065,Hyperion,IT,12,2024,3024775.21,1013532.18
BUD_0000066,Hyperion,IT,10,2026,2657826.92,3277465.26
BUD_0000067,Hyperion,IT,1,2026,3642187.07,1070399.68
BUD_0000068,Hyperion,Operations,3,2025,1085063.07,4504165.21
BUD_0000069,Anaplan,Sales,1,2025,2758901.66,681202.55
BUD_0000070,Excel_Upload,Marketing,5,2024,1851363.96,5309459.02
BUD_0000071,Hyperion,Sales,6,2024,3776650.81,4745224.79
BUD_0000072,Hyperion,IT,2,2024,1153467.03,3318939.48
BUD_0000073,Hyperion,IT,2,2025,3145495.74,205455.86
BUD_0000074,Hyperion,Sales,7,2026,2991052.01,1507600.37
BUD_0000075,Hyperion,Finance,10,2026,1330274.35,3870407.55
BUD_0000076,Hyperion,Finance,3,2026,1753017.42,3108354.44
BUD_0000077,Excel_Upload,Sales,7,2026,419183.19,4284136.48
BUD_0000078,Excel_Upload,IT,7,2024,3765059.77,3441199.54
BUD_0000079,Hyperion,Marketing,2,2025,2516355.97,4875358.59
BUD_0000080,Excel_Upload,Finance,1,2024,4324768.26,5022314.58
BUD_0000081,Anaplan,Sales,1,2025,4972466.02,4521930.75
BUD_0000082,Hyperion,Operations,2,2026,4388075.97,2347321.36
BUD_0000083,Anaplan,Sales,6,2026,984910.56,349424.23
BUD_0000084,Anaplan,IT,3,2025,3347823.25,3220400.52
BUD_0000085,Hyperion,Sales,2,2024,4768229.32,1088673.46
BUD_0000086,Excel_Upload,Finance,6,2025,1668263.33,528332.58
BUD_0000087,Anaplan,Finance,8,2025,1707640.71,5920283.8
BUD_0000088,Hyperion,Sales,6,2025,1425342.43,5234045.09
BUD_0000089,Anaplan,Marketing,10,2026,4120278.4,1350844.54
BUD_0000090,Anaplan,Sales,3,2026,2541555.22,3234747.13
BUD_0000091,Anaplan,Marketing,12,2025,1057397.68,140013.92
BUD_0000092,Anaplan,Finance,1,2025,3831312.81,1401015.22
BUD_0000093,Excel_Upload,Operations,7,2026,1169965.69,1314089.19
BUD_0000094,Anaplan,Marketing,5,2025,3385689.37,5243796.84
BUD_0000095,Anaplan,Sales,6,2026,3072166.85,1059640.21
BUD_0000096,Anaplan,IT,9,2025,2729569.66,3773769.84
BUD_0000097,Excel_Upload,IT,11,2025,3162412.61,2035460.5
BUD_0000098,Anaplan,Sales,3,2024,1483997.48,3185254.73
BUD_0000099,Anaplan,Finance,12,2024,761218.09,4622051.37
BUD_0000100,Excel_Upload,Finance,12,2026,1051658.32,4257963.55
BUD_0000101,Excel_Upload,Finance,4,2024,272187.53,1336273.79
BUD_0000102,Excel_Upload,Sales,8,2026,3847542.42,3290249.03
BUD_0000103,Anaplan,IT,12,2025,2524156.62,878239.61
BUD_0000104,Excel_Upload,Operations,7,2026,3176036.67,4525401.99
BUD_0000105,Excel_Upload,IT,11,2026,4394872.53,597258.49
BUD_0000106,Anaplan,Finance,9,2025,1204716.1,1421538.47
BUD_0000107,Excel_Upload,Sales,8,2026,4475605.29,5513831.86
BUD_0000108,Anaplan,Sales,2,2024,946140.56,1257973.85
BUD_0000109,Hyperion,Operations,8,2026,1679669.91,521005.62
BUD_0000110,Excel_Upload,IT,12,2025,2225068.14,3637135.57
BUD_0000111,Hyperion,Finance,12,2026,1885295.51,1384245.85
BUD_0000112,Anaplan,Operations,4,2025,2706503.63,665086.24
BUD_0000113,Excel_Upload,Finance,12,2026,827872.35,170252.6
BUD_0000114,Anaplan,IT,3,2024,908779.0,1092278.75
BUD_0000115,Hyperion,Operations,8,2026,2727390.24,3835639.44
BUD_0000116,Anaplan,Finance,10,2024,2956049.09,3485605.08
BUD_0000117,Excel_Upload,Marketing,11,2025,4397614.94,2757895.51
BUD_0000118,Excel_Upload,Sales,11,2024,216431.02,1632055.24
BUD_0000119,Hyperion,IT,8,2025,345273.44,5706589.25
BUD_0000120,Anaplan,Sales,3,2026,1380141.73,179863.07
BUD_0000121,Excel_Upload,Finance,8,2024,113651.47,4934082.49
BUD_0000122,Hyperion,Operations,12,2024,2172712.36,2966272.59
BUD_0000123,Excel_Upload,Finance,12,2025,4624083.25,5840608.13
BUD_0000124,Excel_Upload,Marketing,2,2024,3566675.28,4709929.92
BUD_0000125,Anaplan,Marketing,11,2025,3541535.5,4213058.39
BUD_0000126,Excel_Upload,IT,2,2024,2757796.79,242124.31
BUD_0000127,Anaplan,Sales,10,2026,4873581.9,4707622.76
BUD_0000128,Excel_Upload,Finance,2,2026,1698149.85,3890422.88
BUD_0000129,Hyperion,Marketing,12,2026,2257761.84,885681.3
BUD_0000130,Excel_Upload,Operations,11,2026,396225.65,3519065.11
BUD_0000131,Anaplan,Finance,12,2024,2039134.02,1724770.01
BUD_0000132,Anaplan,IT,11,2024,3444301.42,1059550.72
BUD_0000133,Hyperion,Operations,11,2026,3027849.03,5377100.52
BUD_0000134,Excel_Upload,Sales,8,2025,606444.19,5465684.33
BUD_0000135,Excel_Upload,IT,11,2024,2004616.78,4031179.66
BUD_0000136,Hyperion,Sales,7,2025,4716875.66,5261721.53
BUD_0000137,Excel_Upload,Sales,9,2026,519914.8,2652515.26
BUD_0000138,Excel_Upload,Marketing,1,2025,3161542.91,3582910.52
BUD_0000139,Anaplan,Sales,10,2026,3908650.4,4425845.27
BUD_0000140,Excel_Upload,Operations,4,2026,3488666.28,4414412.39
BUD_0000141,Excel_Upload,Operations,4,2025,3527519.77,5130456.92
BUD_0000142,Hyperion,Operations,2,2025,3121100.09,3601748.78
BUD_0000143,Hyperion,Finance,2,2024,3340879.8,1756246.09
BUD_0000144,Anaplan,Marketing,10,2026,4924959.73,1350414.05
BUD_0000145,Excel_Upload,Marketing,12,2025,906320.98,663029.75
BUD_0000146,Excel_Upload,Operations,7,2024,4997910.35,153730.52
BUD_0000147,Excel_Upload,Finance,10,2026,3282426.43,507571.68
BUD_0000148,Anaplan,Sales,7,2025,356297.53,2937159.72
BUD_0000149,Anaplan,Sales,3,2025,1757831.87,3196990.94
BUD_0000150,Hyperion,Sales,10,2024,4316292.46,3879312.49
BUD_0000151,Anaplan,Marketing,4,2025,2346194.21,2525055.73
BUD_0000152,Excel_Upload,Sales,3,2025,2326476.95,1377446.49
BUD_0000153,Excel_Upload,Finance,4,2025,420898.75,4692746.63
BUD_0000154,Anaplan,Finance,2,2024,1120187.47,5063625.72
BUD_0000155,Excel_Upload,Sales,3,2026,2184412.36,1540994.05
BUD_0000156,Excel_Upload,Marketing,6,2025,1852322.9,1725037.49
BUD_0000157,Anaplan,IT,8,2026,3981864.23,1729761.37
BUD_0000158,Anaplan,Operations,11,2025,1732452.87,4108023.2
BUD_0000159,Excel_Upload,Sales,8,2026,3395703.16,4588957.74
BUD_0000160,Excel_Upload,Sales,3,2024,4041671.19,5690911.25
BUD_0000161,Excel_Upload,Operations,11,2026,436048.22,3976600.8
BUD_0000162,Hyperion,IT,12,2026,4223174.26,3539621.24
BUD_0000163,Hyperion,Sales,11,2025,600474.11,4144442.53
BUD_0000164,Hyperion,Sales,5,2024,3245604.69,2509764.84
BUD_0000165,Anaplan,IT,1,2026,2240496.98,690410.97
BUD_0000166,Hyperion,Operations,7,2026,377491.1,1769239.79
BUD_0000167,Anaplan,Finance,11,2026,2159253.51,3080375.49
BUD_0000168,Anaplan,Sales,11,2024,1510795.77,4438407.81
BUD_0000169,Hyperion,Sales,2,2024,3115055.38,149953.92
BUD_0000170,Hyperion,Marketing,1,2024,691251.83,3291745.53
BUD_0000171,Hyperion,IT,11,2024,4637956.14,4507090.2
BUD_0000172,Excel_Upload,Sales,11,2026,361117.54,1856951.42
BUD_0000173,Hyperion,Marketing,7,2025,1539358.14,3645711.54
BUD_0000174,Excel_Upload,Finance,12,2026,581480.28,3146262.76
BUD_0000175,Anaplan,IT,12,2024,992759.16,4211897.49
BUD_0000176,Excel_Upload,Finance,5,2026,614371.29,5317151.29
BUD_0000177,Hyperion,Marketing,3,2026,1513477.58,1608613.39
BUD_0000178,Anaplan,Operations,12,2024,4213967.65,245337.67
BUD_0000179,Anaplan,IT,10,2025,3067106.63,1978368.39
BUD_0000180,Anaplan,Operations,8,2025,1312438.0,2572119.12
BUD_0000181,Excel_Upload,Marketing,2,2026,834615.15,3299673.57
BUD_0000182,Hyperion,IT,1,2024,267476.68,2615070.72
BUD_0000183,Anaplan,Sales,2,2024,2542208.87,1120295.74
BUD_0000184,Anaplan,Marketing,1,2024,4900896.27,5428347.5
BUD_0000185,Anaplan,Marketing,8,2026,944134.16,2464054.52
BUD_0000186,Excel_Upload,Finance,12,2026,80674.34,4452022.86
BUD_0000187,Excel_Upload,Operations,6,2026,3361727.02,2605712.07
BUD_0000188,Hyperion,IT,3,2024,1708306.21,4443844.6
BUD_0000189,Excel_Upload,IT,12,2024,1049575.45,5010552.32
BUD_0000190,Anaplan,Sales,9,2024,1459250.47,1857413.03
BUD_0000191,Hyperion,IT,9,2025,2999327.96,5120135.6
BUD_0000192,Anaplan,Sales,4,2025,3485655.03,3692156.41
BUD_0000193,Anaplan,IT,6,2025,2106049.32,249622.67
BUD_0000194,Excel_Upload,Finance,7,2026,2591746.02,4545862.18
BUD_0000195,Hyperion,Marketing,11,2026,303395.03,4757219.7
BUD_0000196,Excel_Upload,IT,10,2025,3270429.45,1821581.53
BUD_0000197,Excel_Upload,Marketing,10,2026,4542903.69,5791363.32
BUD_0000198,Hyperion,Operations,9,2024,1385718.97,5312181.42
BUD_0000199,Anaplan,Marketing,6,2024,248760.38,670869.15
BUD_0000200,Anaplan,Operations,6,2026,4718259.02,1694088.82
BUD_0000201,Hyperion,IT,3,2025,690388.93,162676.14
BUD_0000202,Anaplan,Finance,12,2025,3646717.52,5222043.14
BUD_0000203,Hyperion,Finance,2,2025,4659868.49,5134602.28
BUD_0000204,Hyperion,Marketing,6,2024,790750.22,3493768.01
BUD_0000205,Excel_Upload,Finance,11,2024,93490.14,294132.53
BUD_0000206,Hyperion,Operations,3,2026,557121.67,1893790.31
BUD_0000207,Excel_Upload,Finance,2,2024,1124091.31,4516159.21
BUD_0000208,Anaplan,Finance,5,2025,4505370.11,4978436.8
BUD_0000209,Anaplan,Finance,6,2025,3299798.91,5399035.6
BUD_0000210,Anaplan,Sales,4,2024,3518658.74,5553691.85
BUD_0000211,Anaplan,Sales,11,2024,212319.15,885506.1
BUD_0000212,Excel_Upload,Marketing,11,2026,2570707.9,5492218.23
BUD_0000213,Anaplan,IT,11,2024,3634484.65,4830815.14
BUD_0000214,Hyperion,IT,9,2025,141826.51,5833076.57
BUD_0000215,Hyperion,Operations,6,2024,1698886.96,394043.39
BUD_0000216,Hyperion,Operations,7,2025,2787570.07,4009751.42
BUD_0000217,Excel_Upload,Marketing,12,2026,2518677.6,3441440.72
BUD_0000218,Anaplan,Sales,12,2024,3189674.99,1506619.59
BUD_0000219,Anaplan,Finance,7,2025,3917732.54,368164.86
BUD_0000220,Anaplan,Sales,11,2025,4536929.09,555274.9
BUD_0000221,Excel_Upload,Sales,3,2025,3361137.72,2719513.54
BUD_0000222,Hyperion,Marketing,1,2025,2240914.93,5423373.29
BUD_0000223,Hyperion,Sales,9,2026,3978741.6,1771218.46
BUD_0000224,Anaplan,IT,6,2024,4526574.27,3044764.33
BUD_0000225,Hyperion,Sales,5,2024,4736398.45,402616.47
BUD_0000226,Hyperion,IT,6,2025,2010736.58,712630.37
BUD_0000227,Excel_Upload,Operations,10,2025,4086151.73,3875433.05
BUD_0000228,Excel_Upload,Operations,11,2024,2766045.33,2465894.27
BUD_0000229,Excel_Upload,Marketing,6,2025,3480887.1,5905220.88
BUD_0000230,Excel_Upload,Finance,1,2024,2018130.19,3169216.51
BUD_0000231,Anaplan,Sales,2,2026,1874159.67,2406120.67
BUD_0000232,Excel_Upload,Finance,12,2024,2170946.61,5857316.49
BUD_0000233,Hyperion,IT,9,2026,2815723.59,3912790.15
BUD_0000234,Anaplan,Finance,11,2026,808346.22,1196806.3
BUD_0000235,Hyperion,Sales,5,2025,2827162.42,3902815.99
BUD_0000236,Hyperion,Finance,6,2026,2413241.27,4372320.45
BUD_0000237,Hyperion,Finance,2,2026,3483630.6,2163497.36
BUD_0000238,Excel_Upload,Finance,3,2026,1236141.61,3681672.94
BUD_0000239,Excel_Upload,Marketing,11,2026,4670074.05,4628244.7
BUD_0000240,Anaplan,Finance,8,2024,818905.18,1333312.24
BUD_0000241,Anaplan,Sales,3,2026,1275927.42,4854695.65
BUD_0000242,Excel_Upload,Sales,12,2024,541416.42,1729495.49
BUD_0000243,Hyperion,Finance,5,2025,293527.43,3054978.83
BUD_0000244,Anaplan,Marketing,11,2024,3629902.92,3145862.47
BUD_0000245,Excel_Upload,IT,10,2026,3119048.22,719720.04
BUD_0000246,Excel_Upload,Finance,6,2024,3856227.05,782029.91
BUD_0000247,Excel_Upload,Marketing,1,2025,4029010.93,274969.35
BUD_0000248,Hyperion,Operations,2,2025,3728447.53,3386642.64
BUD_0000249,Excel_Upload,Sales,12,2026,1770530.34,710383.95
BUD_0000250,Excel_Upload,Operations,6,2025,975106.0,3228639.19
BUD_0000251,Excel_Upload,Sales,5,2025,2517138.12,4320333.3
BUD_0000252,Excel_Upload,IT,1,2025,2470419.4,4031762.91
BUD_0000253,Anaplan,Marketing,5,2026,3199549.88,5596271.52
BUD_0000254,Anaplan,IT,2,2025,1701650.93,4734960.96
BUD_0000255,Excel_Upload,Operations,6,2024,628480.52,695262.93
BUD_0000256,Hyperion,Marketing,12,2024,2110297.27,4127333.39
BUD_0000257,Anaplan,Operations,7,2024,813271.04,4953835.11
BUD_0000258,Excel_Upload,Finance,5,2024,3129014.58,3161182.49
BUD_0000259,Anaplan,Operations,9,2024,646110.86,3495803.16
BUD_0000260,Anaplan,IT,9,2025,4530484.78,2615436.33
BUD_0000261,Hyperion,IT,3,2024,4451800.77,3606403.16
BUD_0000262,Excel_Upload,Finance,1,2024,612920.26,728379.08
BUD_0000263,Excel_Upload,Marketing,12,2024,4450509.39,2078961.72
BUD_0000264,Hyperion,Operations,6,2026,1023683.76,1365667.36
BUD_0000265,Hyperion,Operations,2,2026,1993599.93,3323907.3
BUD_0000266,Excel_Upload,Operations,11,2024,4762305.2,4889425.37
BUD_0000267,Excel_Upload,Marketing,5,2024,4661055.76,4204692.06
BUD_0000268,Hyperion,IT,10,2025,4825581.52,383170.32
BUD_0000269,Anaplan,Finance,3,2026,4335144.93,5690889.71
BUD_0000270,Anaplan,Marketing,12,2025,759372.38,85518.84
BUD_0000271,Hyperion,Finance,4,2025,3851461.85,1567419.11
BUD_0000272,Anaplan,Sales,12,2024,1908057.78,1411154.82
BUD_0000273,Hyperion,Finance,2,2025,2776987.69,5102191.48
BUD_0000274,Anaplan,Sales,8,2024,2753205.41,2770255.99
BUD_0000275,Anaplan,Finance,10,2026,2226000.21,3304128.0
BUD_0000276,Excel_Upload,Sales,12,2024,4693513.42,4537033.41
BUD_0000277,Excel_Upload,Operations,10,2025,52682.48,2745532.16
BUD_0000278,Anaplan,Marketing,6,2025,799569.4,587893.17
BUD_0000279,Anaplan,Operations,11,2025,3880716.33,1393679.84
BUD_0000280,Excel_Upload,IT,4,2024,4010354.23,3690171.72
BUD_0000281,Excel_Upload,Marketing,4,2025,1061779.4,1610143.11
BUD_0000282,Excel_Upload,Operations,7,2026,3898272.97,4736366.37
BUD_0000283,Hyperion,Finance,10,2025,1584002.46,890284.81
BUD_0000284,Anaplan,Marketing,8,2024,3290528.76,619492.4
BUD_0000285,Excel_Upload,Finance,6,2024,1505436.74,5297320.45
BUD_0000286,Anaplan,Operations,10,2026,3353224.92,1173582.18
BUD_0000287,Hyperion,Marketing,2,2024,4202531.99,1630773.01
BUD_0000288,Hyperion,Operations,4,2025,3011007.05,5254025.2
BUD_0000289,Excel_Upload,IT,11,2025,886917.41,2130612.84
BUD_0000290,Hyperion,Operations,10,2024,537941.61,2250435.48
BUD_0000291,Anaplan,IT,4,2026,2033507.83,1480605.39
BUD_0000292,Excel_Upload,Operations,4,2025,4570021.14,1113757.67
BUD_0000293,Anaplan,Marketing,6,2026,3609328.34,5205976.29
BUD_0000294,Anaplan,Finance,11,2026,3449423.03,1815378.23
BUD_0000295,Hyperion,Marketing,12,2024,4797865.16,5346886.23
BUD_0000296,Hyperion,Operations,1,2025,2445624.34,4732292.89
BUD_0000297,Hyperion,Operations,12,2025,4279810.4,4797106.6
BUD_0000298,Hyperion,Operations,9,2026,1405858.97,283412.22
BUD_0000299,Hyperion,Sales,1,2025,2373817.76,1888564.83
BUD_0000300,Excel_Upload,IT,5,2025,899433.82,1291801.18
BUD_0000301,Anaplan,Finance,10,2025,1758255.88,3360128.75
BUD_0000302,Anaplan,IT,7,2024,2855576.34,356236.4
BUD_0000303,Anaplan,Operations,1,2025,2682967.02,4376690.05
BUD_0000304,Anaplan,Operations,4,2024,2888583.73,4343053.73
BUD_0000305,Hyperion,IT,11,2025,255387.19,677405.8
BUD_0000306,Anaplan,IT,7,2025,4663491.43,3482916.7
BUD_0000307,Excel_Upload,IT,12,2025,457500.3,2436330.25
BUD_0000308,Excel_Upload,Sales,6,2026,3715241.42,153346.58
BUD_0000309,Anaplan,IT,6,2025,473623.54,4878575.84
BUD_0000310,Anaplan,Operations,5,2026,1306602.94,5249277.88
BUD_0000311,Excel_Upload,Finance,7,2026,3918836.61,987749.06
BUD_0000312,Excel_Upload,Marketing,3,2026,725178.49,1745019.57
BUD_0000313,Hyperion,IT,5,2026,94916.17,5227980.03
BUD_0000314,Excel_Upload,IT,8,2024,1405470.19,3149991.39
BUD_0000315,Hyperion,IT,1,2026,2210220.24,4007232.68
BUD_0000316,Hyperion,Finance,10,2024,301365.76,3144914.36
BUD_0000317,Hyperion,IT,1,2026,4859936.26,92025.3
BUD_0000318,Hyperion,IT,11,2024,1214294.58,1119803.17
BUD_0000319,Hyperion,IT,2,2025,2859221.19,4284531.54
BUD_0000320,Anaplan,Finance,10,2024,2519429.92,757808.64
BUD_0000321,Excel_Upload,Marketing,4,2025,2935874.43,5836218.99
BUD_0000322,Hyperion,Operations,7,2024,662571.47,5764678.9
BUD_0000323,Excel_Upload,Finance,11,2026,1653843.16,1409064.82
BUD_0000324,Excel_Upload,IT,11,2025,2594009.35,5854112.53
BUD_0000325,Hyperion,Sales,11,2026,1769421.34,2093245.29
BUD_0000326,Anaplan,Finance,12,2026,4290166.57,4902462.15
BUD_0000327,Hyperion,IT,8,2024,3396683.62,5488588.45
BUD_0000328,Anaplan,IT,11,2026,1275454.7,4314047.55
BUD_0000329,Excel_Upload,Operations,7,2026,771137.25,4693349.41
BUD_0000330,Anaplan,Finance,1,2026,1662190.9,1286239.41
BUD_0000331,Anaplan,Finance,9,2024,149937.05,630656.19
BUD_0000332,Anaplan,Operations,11,2025,4525463.45,2311042.13
BUD_0000333,Excel_Upload,Sales,4,2026,1588117.78,1714220.93
BUD_0000334,Excel_Upload,Sales,11,2024,4678532.17,3951319.01
BUD_0000335,Anaplan,Marketing,6,2024,154993.03,1972127.67
BUD_0000336,Anaplan,Marketing,3,2024,4249471.21,797582.01
BUD_0000337,Hyperion,Operations,9,2026,4741047.6,5218195.35
BUD_0000338,Anaplan,Finance,4,2026,771187.33,232022.12
BUD_0000339,Hyperion,IT,2,2024,2988127.97,4289540.38
BUD_0000340,Anaplan,Sales,2,2026,2660824.51,5136401.42
BUD_0000341,Hyperion,Finance,6,2024,3212347.13,2342328.9
BUD_0000342,Excel_Upload,Marketing,12,2025,4120663.07,1783723.33
BUD_0000343,Anaplan,Sales,4,2026,3197021.55,2453158.16
BUD_0000344,Anaplan,IT,2,2024,1433483.9,1653419.86
BUD_0000345,Anaplan,Marketing,11,2025,1778280.26,4886760.64
BUD_0000346,Anaplan,IT,9,2025,3128447.13,3732907.46
BUD_0000347,Hyperion,Marketing,9,2024,3457008.94,607803.53
BUD_0000348,Anaplan,IT,2,2024,4763444.36,4885358.78
BUD_0000349,Excel_Upload,Sales,7,2024,2042310.09,2483184.07
BUD_0000350,Excel_Upload,Operations,6,2024,1777052.46,3924811.69
BUD_0000351,Anaplan,IT,3,2024,4060626.14,2131128.86
BUD_0000352,Excel_Upload,Sales,10,2026,1475868.42,2184103.09
BUD_0000353,Anaplan,Finance,10,2025,2745135.3,1583901.38
BUD_0000354,Anaplan,Finance,5,2025,1610788.96,895932.86
BUD_0000355,Excel_Upload,Marketing,11,2026,3247079.38,123357.56
BUD_0000356,Anaplan,Operations,5,2024,4565203.18,778831.99
BUD_0000357,Excel_Upload,Marketing,5,2026,3546637.46,1613911.33
BUD_0000358,Hyperion,IT,9,2025,3602527.2,2650684.19
BUD_0000359,Anaplan,Operations,10,2026,4615412.4,2181714.52
BUD_0000360,Hyperion,IT,11,2024,2817966.61,252920.32
BUD_0000361,Excel_Upload,Sales,3,2025,87590.45,182575.47
BUD_0000362,Hyperion,Operations,2,2025,4127842.63,1572627.43
BUD_0000363,Hyperion,Finance,9,2025,4555456.34,4728732.77
BUD_0000364,Excel_Upload,Sales,2,2026,1749955.25,2271349.66
BUD_0000365,Hyperion,Sales,11,2024,1715979.2,383863.72
BUD_0000366,Hyperion,IT,3,2025,4500473.55,5045084.38
BUD_0000367,Excel_Upload,Marketing,9,2026,2407362.39,3112790.98
BUD_0000368,Hyperion,IT,8,2026,565234.4,1606269.34
BUD_0000369,Excel_Upload,Sales,7,2026,4373177.88,892676.75
BUD_0000370,Hyperion,Operations,2,2024,3240167.59,5099415.31
BUD_0000371,Excel_Upload,Finance,7,2025,1964032.35,5780543.15
BUD_0000372,Excel_Upload,Sales,1,2024,2562427.89,2858179.96
BUD_0000373,Hyperion,Marketing,5,2024,1981157.5,4874111.68
BUD_0000374,Hyperion,Marketing,2,2026,692213.81,837498.36
BUD_0000375,Hyperion,Operations,12,2024,695334.33,2531439.76
BUD_0000376,Anaplan,Marketing,1,2026,1915326.47,1356200.52
BUD_0000377,Anaplan,Operations,7,2026,2590688.81,4978666.19
BUD_0000378,Anaplan,Marketing,12,2025,475241.74,3420445.61
BUD_0000379,Excel_Upload,IT,7,2026,4093151.98,4557972.1
BUD_0000380,Hyperion,Finance,1,2025,3946537.41,4953385.74
BUD_0000381,Excel_Upload,Finance,11,2024,2908658.52,4933741.78
BUD_0000382,Anaplan,Sales,12,2026,582652.15,1722415.77
BUD_0000383,Hyperion,Sales,11,2024,2992802.45,3606412.76
BUD_0000384,Excel_Upload,IT,7,2026,4599842.97,1797089.05
BUD_0000385,Hyperion,IT,3,2024,624905.42,4617275.8
BUD_0000386,Excel_Upload,Finance,3,2025,778407.03,4049183.85
BUD_0000387,Hyperion,Sales,3,2026,2313785.45,2176383.46
BUD_0000388,Anaplan,Sales,2,2026,1713956.03,941768.28
BUD_0000389,Anaplan,Finance,2,2024,1149658.66,209078.15
BUD_0000390,Hyperion,Operations,3,2025,4149976.21,4641541.74
BUD_0000391,Excel_Upload,IT,5,2024,4485716.26,5948933.52
BUD_0000392,Anaplan,Sales,12,2025,4015673.5,2613180.03
BUD_0000393,Anaplan,Finance,1,2026,4678527.15,4871318.07
